song_name,artist,genre,number_of_people,youtube_url,start_second,end_second,details,
LATATA,(G)I-dle,kpop_girls,6,https://www.youtube.com/watch?v=Fhk4Qzj_QpM,4,204,slight zoom translation,#NAME?
?? ?? ?? ?,miss A,kpop_girls,4,https://www.youtube.com/watch?v=lydyrae75xI,0,202,person in the mirror; slight zoom translation,
Loving U,SISTAR,kpop_girls,4,https://www.youtube.com/watch?v=RK_TkMWTdiw,0,218,person in the mirror; slight translation,
KNOCK KNOCK,TWICE,kpop_girls,9,https://www.youtube.com/watch?v=idOQFSu_4Ok,0,195,fixed camera,
Hot Pink,EXID,kpop_girls,5,https://www.youtube.com/watch?v=rGwra24x7yI,0,198,lighting condition; person in the mirror,
LIKEY,TWICE,kpop_girls,9,https://www.youtube.com/watch?v=aHN1dK2UxE4,2,208,people in the mirror; fixed camera,
Bboom Bboom,MOMOLAND,kpop_girls,9,https://www.youtube.com/watch?v=hLv5MBuSYDY,3,210,people in the mirror; fixed camera,
Me gustas tu,GFRIEND,kpop_girls,6,https://www.youtube.com/watch?v=DMOaEdw4KJM,0,218,fixed camera,
Playing With Fire,Blackpink,kpop_girls,4,https://www.youtube.com/watch?v=NvWfJTbrTBY,4,198,lighting condition,
Excuse Me,AOA,kpop_girls,7,https://www.youtube.com/watch?v=5g57hiXNXGo,0,221,mirrored,
IDOL,BTS,kpop_boys,7,https://www.youtube.com/watch?v=bhWXw56puNY,0,223,lighting condition; slight zoom translation,
DNA,BTS,kpop_boys,7,https://www.youtube.com/watch?v=GEIU_7v40Dw,0,222,people out of the frame,
Electric Kiss,EXO,kpop_boys,8,https://www.youtube.com/watch?v=XcdLVKYsHHU,0,204,various zoom translation,
History,EXO-K,kpop_boys,6,https://www.youtube.com/watch?v=sPPGu5tnmtw,0,310,slightly bad sound quality,
I Need U,BTS,kpop_boys,7,https://www.youtube.com/watch?v=hvUZb9NT7EY,0,210,fixed camera,
The Eve,EXO,kpop_boys,7,https://www.youtube.com/watch?v=b6ycw7p9-bE,0,173,slight zoom translation,
Shine,PENTAGON,kpop_boys,10,https://www.youtube.com/watch?v=6_v8n_zb5ak,0,198,huge zoom translation,
Good Evening,SHINee,kpop_boys,4,https://www.youtube.com/watch?v=aI5k1PPUtpw,0,220,fixed camera; people from outside,
LOVE SCENARIO,iKON,kpop_boys,7,https://www.youtube.com/watch?v=heIvcW7nw5U,0,208,lighting condition,
?? ??,GOT7,kpop_boys,7,https://www.youtube.com/watch?v=7PlVhV6V_4E,15,209,lighting condition,
